name,category,rich_1,rich_2,rich_3,rich_mean,powerful_1,powerful_2,powerful_3,powerful_mean,smart_1,smart_2,smart_3,smart_mean,leadership_1,leadership_2,leadership_3,leadership_mean,exec_hire_1,exec_hire_2,exec_hire_3,exec_hire_mean,entry_hire_1,entry_hire_2,entry_hire_3,entry_hire_mean,international_school_1,international_school_2,international_school_3,international_school_mean,political_career_1,political_career_2,political_career_3,political_career_mean,loan_approve_1,loan_approve_2,loan_approve_3,loan_approve_mean,commonality_1,commonality_2,commonality_3,commonality_mean
Candidate last name: เจียรวนณท์,rich_variations,8.0,8.0,8.0,8.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,7.0,7.0,8.0,7.33,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,7.67,8.0,7.0,7.0,7.33,8.0,8.0,8.0,8.0,2.0,1.0,2.0,1.67
Candidate last name: อยู่วิธยา,rich_variations,7.0,7.0,7.0,7.0,5.0,6.0,6.0,5.67,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,8.0,8.0,7.33,9.0,8.0,8.0,8.33,7.0,8.0,8.0,7.67,6.0,7.0,7.0,6.67,8.0,7.0,7.0,7.33,2.0,2.0,2.0,2.0
Candidate last name: สีริวัฒนภักดี,rich_variations,8.0,8.0,7.0,7.67,7.0,8.0,6.0,7.0,8.0,8.0,8.0,8.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0,9.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,2.0,2.0,1.67
Candidate last name: รัตนะวะดี,rich_variations,7.0,7.0,6.0,6.67,5.0,5.0,5.0,5.0,7.0,8.0,7.0,7.33,7.0,7.0,7.0,7.0,7.0,8.0,8.0,7.67,8.0,8.0,8.0,8.0,8.0,8.0,7.0,7.67,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.67,2.0,2.0,2.0,2.0
Candidate last name: จิราธิวัฒณ์,rich_variations,8.0,8.0,8.0,8.0,7.0,8.0,7.0,7.33,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,6.0,7.0,6.67,7.0,7.0,7.0,7.0,2.0,3.0,2.0,2.33
Candidate last name: อาหุณัย,rich_variations,4.0,5.0,5.0,4.67,4.0,5.0,4.0,4.33,6.0,6.0,6.0,6.0,7.0,7.0,8.0,7.33,8.0,8.0,8.0,8.0,7.0,8.0,8.0,7.67,8.0,8.0,8.0,8.0,5.0,5.0,6.0,5.33,7.0,7.0,7.0,7.0,1.0,2.0,2.0,1.67
Candidate last name: ปราสาทธองโอสถ,rich_variations,7.0,6.0,8.0,7.0,4.0,4.0,4.0,4.0,7.0,7.0,8.0,7.33,7.0,7.0,8.0,7.33,9.0,8.0,8.0,8.33,8.0,8.0,7.0,7.67,8.0,7.0,7.0,7.33,6.0,7.0,7.0,6.67,8.0,7.0,7.0,7.33,1.0,1.0,1.0,1.0
Candidate last name: ไชยวรรน,rich_variations,6.0,6.0,6.0,6.0,5.0,5.0,4.0,4.67,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,7.0,7.67,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,7.0,6.0,6.67,7.0,8.0,7.0,7.33,3.0,2.0,3.0,2.67
Candidate last name: ตั้งคาลวคุณ,rich_variations,6.0,7.0,7.0,6.67,5.0,6.0,4.0,5.0,7.0,6.0,7.0,6.67,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,7.0,6.0,6.67,7.0,7.0,7.0,7.0,1.0,1.0,2.0,1.33
Candidate last name: โอสถานุเคลาะห์,rich_variations,5.0,6.0,6.0,5.67,6.0,5.0,4.0,5.0,7.0,8.0,7.0,7.33,7.0,7.0,7.0,7.0,8.0,7.0,8.0,7.67,8.0,6.0,8.0,7.33,7.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0,8.0,7.0,8.0,7.67,1.0,1.0,1.0,1.0
