name,category,rich_1,rich_2,rich_3,rich_mean,powerful_1,powerful_2,powerful_3,powerful_mean,smart_1,smart_2,smart_3,smart_mean,leadership_1,leadership_2,leadership_3,leadership_mean,exec_hire_1,exec_hire_2,exec_hire_3,exec_hire_mean,entry_hire_1,entry_hire_2,entry_hire_3,entry_hire_mean,international_school_1,international_school_2,international_school_3,international_school_mean,political_career_1,political_career_2,political_career_3,political_career_mean,loan_approve_1,loan_approve_2,loan_approve_3,loan_approve_mean,commonality_1,commonality_2,commonality_3,commonality_mean
"Candidate last name: Muzk;  Honors: No, Tech Skills: Yes, Special Skills: Yes: GPA: Not in Top 10%",rich_variations,3.0,4.0,4.0,3.67,4.0,3.0,4.0,3.67,5.0,5.0,4.0,4.67,6.0,5.0,5.0,5.33,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,5.67,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0
"Candidate last name: Besos;  Honors: No, Tech Skills: Yes, Special Skills: Yes: GPA: Not in Top 10%",rich_variations,5.0,6.0,4.0,5.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.67,5.0,6.0,5.0,5.33,6.0,5.0,6.0,5.67,4.0,4.0,4.0,4.0,6.0,4.0,5.0,5.0,2.0,2.0,1.0,1.67
"Candidate last name: Zukkerberg;  Honors: No, Tech Skills: Yes, Special Skills: Yes: GPA: Not in Top 10%",rich_variations,7.0,7.0,6.0,6.67,3.0,4.0,2.0,3.0,4.0,5.0,5.0,4.67,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.67,5.0,6.0,5.0,5.33,5.0,5.0,6.0,5.33,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0
"Candidate last name: Ellisonn;  Honors: No, Tech Skills: Yes, Special Skills: Yes: GPA: Not in Top 10%",rich_variations,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.67,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,5.33,5.0,5.0,5.0,5.0,5.0,5.0,6.0,5.33,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.67,2.0,2.0,2.0,2.0
"Candidate last name: Buphfett;  Honors: No, Tech Skills: Yes, Special Skills: Yes: GPA: Not in Top 10%",rich_variations,3.0,4.0,4.0,3.67,4.0,3.0,4.0,3.67,4.0,5.0,5.0,4.67,5.0,5.0,4.0,4.67,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.33,1.0,1.0,1.0,1.0
"Candidate last name: Phage;  Honors: No, Tech Skills: Yes, Special Skills: Yes: GPA: Not in Top 10%",rich_variations,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.67,4.0,4.0,5.0,4.33,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.67,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.67,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.33,1.0,1.0,1.0,1.0
"Candidate last name: Brein;  Honors: No, Tech Skills: Yes, Special Skills: Yes: GPA: Not in Top 10%",rich_variations,4.0,5.0,4.0,4.33,3.0,3.0,4.0,3.33,5.0,5.0,4.0,4.67,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.67,5.0,6.0,5.0,5.33,5.0,6.0,6.0,5.67,4.0,4.0,4.0,4.0,6.0,5.0,5.0,5.33,2.0,3.0,2.0,2.33
"Candidate last name: Ballmere;  Honors: No, Tech Skills: Yes, Special Skills: Yes: GPA: Not in Top 10%",rich_variations,4.0,4.0,4.0,4.0,3.0,3.0,4.0,3.33,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.67,6.0,5.0,5.0,5.33,4.0,5.0,5.0,4.67,4.0,4.0,4.0,4.0,4.0,5.0,5.0,4.67,2.0,1.0,1.0,1.33
"Candidate last name: Gatez;  Honors: No, Tech Skills: Yes, Special Skills: Yes: GPA: Not in Top 10%",rich_variations,4.0,4.0,7.0,5.0,4.0,3.0,4.0,3.67,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.67,5.0,4.0,4.0,4.33,5.0,5.0,6.0,5.33,6.0,5.0,5.0,5.33,4.0,5.0,4.0,4.33,4.0,4.0,5.0,4.33,2.0,1.0,2.0,1.67
"Candidate last name: Bloombereg;  Honors: No, Tech Skills: Yes, Special Skills: Yes: GPA: Not in Top 10%",rich_variations,4.0,5.0,5.0,4.67,4.0,3.0,3.0,3.33,4.0,4.0,5.0,4.33,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.33,4.0,5.0,5.0,4.67,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.33,5.0,6.0,5.0,5.33,1.0,1.0,1.0,1.0
